BENCHMARK_TICKER,ETF_TICKER,CORRELATION,P_VALUE,NAME,PRIOR,POSTERIOR,VIEWS
BBRELRGC Index,RWO US Equity,0.9902,0,Bloomberg Real Estate Investment Trust Large Cap Index,0.15171611,0.046172288,0.01135
BBREPBST Index,BIZD US Equity,0.9439,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,DLN US Equity,0.9639,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,DIVO US Equity,0.9667,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,DTD US Equity,0.9637,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,FCPI US Equity,0.9557,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,HUSV US Equity,0.9631,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,KBWY US Equity,0.9391,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,IUS US Equity,0.9575,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBREPBST Index,RWL US Equity,0.9609,0,Bloomberg Reit Public /Self Storage Index,0.097334249,0.02753595,0.0683
BBRERTL Index,ROOF US Equity,0.9527,0,Bloomberg Real Estate Investment Trust Retail Index,0.172950649,0.068849389,0.0796
BBRESHOP Index,AVUV US Equity,0.9164,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,DDIV US Equity,0.9445,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,IMCV US Equity,0.9548,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,JPUS US Equity,0.9561,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,VFVA US Equity,0.9402,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BBRESHOP Index,XSVM US Equity,0.9482,0,Bloomberg Reit Shopping Center Index,0.167491195,0.068596304,0.01975
BKX Index,KBWB US Equity,0.9969,0,KBW Bank Index,0.173385606,0.050607033,0.0524
BPITT Index,BLES US Equity,0.9792,0,Bloomberg Pittsburgh Index,0.159817762,0.055607068,0.042
BPITT Index,HOMZ US Equity,0.9813,0,Bloomberg Pittsburgh Index,0.159817762,0.055607068,0.042
BPITT Index,LSAF US Equity,0.9795,0,Bloomberg Pittsburgh Index,0.159817762,0.055607068,0.042
CBNK Index,IAT US Equity,0.9893,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CBNK Index,FTXO US Equity,0.9885,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CBNK Index,KRE US Equity,0.9864,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CBNK Index,KBE US Equity,0.995,0,NASDAQ Bank Index,0.131674833,0.077933971,0.07035
CCMP Index,FXL US Equity,0.9799,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,IHAK US Equity,0.942,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,KARS US Equity,0.9364,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,ONEQ US Equity,0.9977,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,QQEW US Equity,0.993,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,QQQE US Equity,0.9928,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,PWB US Equity,0.9911,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,QYLD US Equity,0.9736,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CCMP Index,QTEC US Equity,0.9922,0,NASDAQ Composite Index,0.160705888,0.045284218,0.0603
CIND Index,ERTH US Equity,0.922,0,NASDAQ Industrial Index,0.168591375,0.053683899,0.06855
CIND Index,SMOG US Equity,0.8739,0,NASDAQ Industrial Index,0.168591375,0.053683899,0.06855
CIND Index,PTF US Equity,0.9517,0,NASDAQ Industrial Index,0.168591375,0.053683899,0.06855
CTRN Index,FTXR US Equity,0.9815,0,NASDAQ Transportation Index,0.151506588,0.072083914,0.0635
CTRN Index,XTN US Equity,0.9571,0,NASDAQ Transportation Index,0.151506588,0.072083914,0.0635
DJDVP Index,DVY US Equity,0.9779,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,DJD US Equity,0.9613,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,FTA US Equity,0.9501,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,GCOW US Equity,0.9269,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,GNR US Equity,0.9598,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,IFRA US Equity,0.9417,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,FTRI US Equity,0.9218,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,JDIV US Equity,0.9741,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,PEY US Equity,0.9688,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,RPV US Equity,0.9813,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,RTM US Equity,0.9477,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,SDOG US Equity,0.9908,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,SDY US Equity,0.9506,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,SPVU US Equity,0.9466,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,SPYD US Equity,0.9759,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,SPDV US Equity,0.9749,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,VEGI US Equity,0.9495,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJDVP Index,VRAI US Equity,0.9334,0,Dow Jones Select Dividend Index,0.121246405,0.054845179,0.0751
DJGT Index,DJUL US Equity,0.9695,0,Dow Jones Global Titans 50 Index,0.138972752,0.019429064,0.00505
DJI Index,DIA US Equity,0.9909,0,Dow Jones Industrial Average - DJI,0.132992767,0.038231573,0.05185
DJI Index,NETL US Equity,0.9533,0,Dow Jones Industrial Average - DJI,0.132992767,0.038231573,0.05185
DWRSF Index,BBRE US Equity,0.9955,0,Dow Jones US Select Real Estate Securities Index,0.154058994,0.052310586,0.02
DWRSF Index,FRI US Equity,0.9954,0,Dow Jones US Select Real Estate Securities Index,0.154058994,0.052310586,0.02
DWRSF Index,GQRE US Equity,0.9909,0,Dow Jones US Select Real Estate Securities Index,0.154058994,0.052310586,0.02
DWRSF Index,RWR US Equity,0.9961,0,Dow Jones US Select Real Estate Securities Index,0.154058994,0.052310586,0.02
DWRSF Index,USRT US Equity,0.9944,0,Dow Jones US Select Real Estate Securities Index,0.154058994,0.052310586,0.02
DWRSF Index,VPC US Equity,0.9697,0,Dow Jones US Select Real Estate Securities Index,0.154058994,0.052310586,0.02
FIDINTFP Index,EFAV US Equity,0.991,0,Fidelity International Multifactor Index PR,0.127695412,0.041573923,0.0664
FIDINTFP Index,IDHQ US Equity,0.9934,0,Fidelity International Multifactor Index PR,0.127695412,0.041573923,0.0664
HGX Index,ITB US Equity,0.9846,0,Philadelphia Stock Exchange Housing Sector Index,0.188870009,0.079701962,0.06595
HGX Index,PKB US Equity,0.9772,0,Philadelphia Stock Exchange Housing Sector Index,0.188870009,0.079701962,0.06595
INDU Index,MOAT US Equity,0.9793,0,Dow Jones Industrial Average,0.132992767,0.038231573,0.05185
INX Index,BSEP US Equity,0.9873,0,Chicago Mercantile Exchange Standard & Poor's 500 Index,0.141905294,0.034547169,0.02495
INX Index,FQAL US Equity,0.9885,0,Chicago Mercantile Exchange Standard & Poor's 500 Index,0.141905294,0.034547169,0.02495
INX Index,QARP US Equity,0.9877,0,Chicago Mercantile Exchange Standard & Poor's 500 Index,0.141905294,0.034547169,0.02495
INX Index,QLC US Equity,0.9919,0,Chicago Mercantile Exchange Standard & Poor's 500 Index,0.141905294,0.034547169,0.02495
IVX Index,AIVL US Equity,0.9725,0,S&P 500 Value Chicago Mercantile Exchange Index,0.144518011,0.042695216,0.0131
IVX Index,FBCV US Equity,0.9557,0,S&P 500 Value Chicago Mercantile Exchange Index,0.144518011,0.042695216,0.0131
IVX Index,FMIL US Equity,0.9374,0,S&P 500 Value Chicago Mercantile Exchange Index,0.144518011,0.042695216,0.0131
IVX Index,FAB US Equity,0.9702,0,S&P 500 Value Chicago Mercantile Exchange Index,0.144518011,0.042695216,0.0131
IVX Index,FLV US Equity,0.9481,0,S&P 500 Value Chicago Mercantile Exchange Index,0.144518011,0.042695216,0.0131
IXM Index,XLF US Equity,0.9978,0,Financial Select Sector Index,0.176269707,0.0403784,0.02405
IXT Index,SPMO US Equity,0.9784,0,Technology Select Sector Index,0.157542462,0.024914933,0.039
IXT Index,SPUS US Equity,0.986,0,Technology Select Sector Index,0.157542462,0.024914933,0.039
IXT Index,TDV US Equity,0.9817,0,Technology Select Sector Index,0.157542462,0.024914933,0.039
IXT Index,XLK US Equity,0.9992,0,Technology Select Sector Index,0.157542462,0.024914933,0.039
M3EU Index,AVDE US Equity,0.9817,0,MSCI Europe USD Price Return Index,0.163778655,0.040418072,0.0351
M3EU Index,IGRO US Equity,0.9766,0,MSCI Europe USD Price Return Index,0.163778655,0.040418072,0.0351
M3EU Index,QEFA US Equity,0.983,0,MSCI Europe USD Price Return Index,0.163778655,0.040418072,0.0351
M3EU Index,SPEU US Equity,0.992,0,MSCI Europe USD Price Return Index,0.163778655,0.040418072,0.0351
M3GB Index,DTH US Equity,0.9515,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,FLGB US Equity,0.989,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,EWU US Equity,0.9632,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,IDOG US Equity,0.9652,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,FGD US Equity,0.9764,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,FID US Equity,0.9587,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,FYLD US Equity,0.9631,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3GB Index,WDIV US Equity,0.9607,0,MSCI UK USD Price Return Index,0.147832697,0.039622353,0.0336
M3KR Index,FAN US Equity,0.8873,0,MSCI Korea USD Price Return Index,0.188551501,0.082785084,0.0924
M3KR Index,FLKR US Equity,0.9925,0,MSCI Korea USD Price Return Index,0.188551501,0.082785084,0.0924
M3KR Index,EWY US Equity,0.9945,0,MSCI Korea USD Price Return Index,0.188551501,0.082785084,0.0924
M3TW Index,EWT US Equity,0.9792,0,MSCI Taiwan USD Index,0.15060963,0.061661086,0.0497
M6US Index,ESGU US Equity,0.9991,0,MSCI USA Pr Local,0.143361328,0.034582406,0.02645
M6US Index,KRMA US Equity,0.9975,0,MSCI USA Pr Local,0.143361328,0.034582406,0.02645
M6US Index,SFY US Equity,0.998,0,MSCI USA Pr Local,0.143361328,0.034582406,0.02645
M6US Index,SCHB US Equity,0.9993,0,MSCI USA Pr Local,0.143361328,0.034582406,0.02645
M6US Index,VTHR US Equity,0.9992,0,MSCI USA Pr Local,0.143361328,0.034582406,0.02645
M6US000G Index,FTC US Equity,0.9859,0,MSCI USA Growth Price Local,0.147167722,0.031817027,0.02705
M6US000G Index,NJAN US Equity,0.9824,0,MSCI USA Growth Price Local,0.147167722,0.031817027,0.02705
M6US000G Index,NULG US Equity,0.9951,0,MSCI USA Growth Price Local,0.147167722,0.031817027,0.02705
M6US000V Index,DON US Equity,0.9353,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,DSTL US Equity,0.9616,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,FDRR US Equity,0.986,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,FNDX US Equity,0.9699,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,FNDB US Equity,0.9759,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,FVD US Equity,0.9469,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,IWD US Equity,0.996,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,IVE US Equity,0.9883,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,KLCD US Equity,0.9693,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,NOBL US Equity,0.9635,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,PRF US Equity,0.9862,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,REVS US Equity,0.9803,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,SCHV US Equity,0.9943,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,QDF US Equity,0.9842,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,SSPY US Equity,0.9823,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,SCHD US Equity,0.9562,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,SPYV US Equity,0.9866,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,ULVM US Equity,0.9855,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,VALQ US Equity,0.9696,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,VLU US Equity,0.9915,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,VOE US Equity,0.9799,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,VONV US Equity,0.9957,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
M6US000V Index,VOOV US Equity,0.9878,0,MSCI USA Value Price Local,0.139692449,0.037418202,0.01605
MGLEACWF Index,SFYF US Equity,0.9685,0,MSCI ACWI Growth Local Index,0.13537496,0.035007223,0.01755
MGUAJN Index,ENTR US Equity,0.8819,0,MSCI Growth Japan USD,0.121004018,0.053893403,0.03095
MGUAJN Index,IPO US Equity,0.9244,0,MSCI Growth Japan USD,0.121004018,0.053893403,0.03095
MGUAJN Index,LRNZ US Equity,0.9134,0,MSCI Growth Japan USD,0.121004018,0.053893403,0.03095
MGUAJN Index,TAN US Equity,0.6856,0,MSCI Growth Japan USD,0.121004018,0.053893403,0.03095
MGUEBZ Index,BRF US Equity,0.9383,0,MSCI Growth Brazil USD,0.201905307,0.065709091,0.10715
MID Index,EES US Equity,0.9669,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,EWMC US Equity,0.9897,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,JPSE US Equity,0.9668,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,IVOO US Equity,0.9953,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,JHSC US Equity,0.9854,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,IJH US Equity,0.9953,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,SDVY US Equity,0.9811,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,SMLF US Equity,0.9653,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,SMMV US Equity,0.972,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MID Index,USVM US Equity,0.9714,0,S&P Midcap 400 Index,0.157776484,0.069912896,0.08325
MIDG Index,BBMC US Equity,0.9874,0,S&P MidCap 400 Growth Index,0.154016208,0.066138107,0.08365
MIDG Index,MDYG US Equity,0.9991,0,S&P MidCap 400 Growth Index,0.154016208,0.066138107,0.08365
MIDG Index,KOCT US Equity,0.9566,0,S&P MidCap 400 Growth Index,0.154016208,0.066138107,0.08365
MIDG Index,IJK US Equity,0.9991,0,S&P MidCap 400 Growth Index,0.154016208,0.066138107,0.08365
MIDG Index,SFYX US Equity,0.9827,0,S&P MidCap 400 Growth Index,0.154016208,0.066138107,0.08365
MIDL1 Index,CSF US Equity,0.9653,0,S&P Midcap 400 1 Index,0.157776484,0.06990964,0.08305
MIDL1 Index,FNDA US Equity,0.9608,0,S&P Midcap 400 1 Index,0.157776484,0.06990964,0.08305
MIDL1 Index,MDY US Equity,0.9961,0,S&P Midcap 400 1 Index,0.157776484,0.06990964,0.08305
MIDL1 Index,PRFZ US Equity,0.974,0,S&P Midcap 400 1 Index,0.157776484,0.06990964,0.08305
MIDL1 Index,SPMD US Equity,0.9952,0,S&P Midcap 400 1 Index,0.157776484,0.06990964,0.08305
MIDL1 Index,XMHQ US Equity,0.9908,0,S&P Midcap 400 1 Index,0.157776484,0.06990964,0.08305
MIDV Index,DES US Equity,0.9815,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,CSB US Equity,0.9546,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,ISCV US Equity,0.9813,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,IVOV US Equity,0.9884,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,MDYV US Equity,0.9884,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,IJJ US Equity,0.9891,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,OSCV US Equity,0.962,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,RFV US Equity,0.9697,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,SYLD US Equity,0.9437,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,RWJ US Equity,0.9572,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,RWK US Equity,0.9855,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,VBR US Equity,0.9869,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MIDV Index,XMVM US Equity,0.9776,0,S&P Midcap 400 Value Index,0.16195606,0.073797359,0.0774
MSALAAPF Index,IWO US Equity,0.923,0,MSCI AC Asia Pacific Local,0.123167342,0.062213295,0.0754
MSALAAPF Index,JHEM US Equity,0.9762,0,MSCI AC Asia Pacific Local,0.123167342,0.062213295,0.0754
MSALAAPF Index,KOMP US Equity,0.9596,0,MSCI AC Asia Pacific Local,0.123167342,0.062213295,0.0754
MSALAAPF Index,SPEM US Equity,0.9717,0,MSCI AC Asia Pacific Local,0.123167342,0.062213295,0.0754
MSALAAPF Index,VWO US Equity,0.9727,0,MSCI AC Asia Pacific Local,0.123167342,0.062213295,0.0754
MSCLFNCL Index,DFNL US Equity,0.9902,0,MSCI ACWI Financials Local Index,0.159132495,0.045828882,0.05645
MSCLUTI Index,JXI US Equity,0.9814,0,MSCI ACWI Utilities Sector Local Index,0.082199561,0.019955185,0.0206
MSDLEAFE Index,HIPS US Equity,0.9576,0,MSCI EAFE Local,0.125639857,0.041294928,0.0435
MSDLEASE Index,EUSC US Equity,0.9742,0,MSCI EASEA Local,0.127070987,0.03459587,0.04125
MSDLEASE Index,HEDJ US Equity,0.9863,0,MSCI EASEA Local,0.127070987,0.03459587,0.04125
MSDLEASE Index,IHDG US Equity,0.9761,0,MSCI EASEA Local,0.127070987,0.03459587,0.04125
MSDLEMU Index,DBAW US Equity,0.9785,0,MSCI EMU Local,0.145896707,0.036411463,0.03045
MSDLEMU Index,HFXI US Equity,0.9823,0,MSCI EMU Local,0.145896707,0.036411463,0.03045
MSDLEMU Index,HAWX US Equity,0.9784,0,MSCI EMU Local,0.145896707,0.036411463,0.03045
MSDLEMU Index,IJAN US Equity,0.9789,0,MSCI EMU Local,0.145896707,0.036411463,0.03045
MSDLNA Index,AESR US Equity,0.9972,0,MSCI North America Local,0.141137002,0.034377295,0.0264
MSDLNA Index,ILCB US Equity,0.999,0,MSCI North America Local,0.141137002,0.034377295,0.0264
MSDLNA Index,IYY US Equity,0.9991,0,MSCI North America Local,0.141137002,0.034377295,0.0264
MSDLNA Index,SCHK US Equity,0.999,0,MSCI North America Local,0.141137002,0.034377295,0.0264
MSDLP Index,DBJP US Equity,0.7958,0,MSCI Pacific Local,0.119758295,0.059672443,0.07445
MSDLWI Index,ALTY US Equity,0.968,0,MSCI World Local,0.135894746,0.036347268,0.0227
MSDLWI Index,KOKU US Equity,0.9985,0,MSCI World Local,0.135894746,0.036347268,0.0227
MSDLWI Index,SIZE US Equity,0.9946,0,MSCI World Local,0.135894746,0.036347268,0.0227
MSDLWI Index,QUAL US Equity,0.9944,0,MSCI World Local,0.135894746,0.036347268,0.0227
MSDLWI Index,TOK US Equity,0.9982,0,MSCI World Local,0.135894746,0.036347268,0.0227
MSDLWI Index,UTRN US Equity,0.9715,0,MSCI World Local,0.135894746,0.036347268,0.0227
MSDLWXUS Index,DBEF US Equity,0.9709,0,MSCI World Ex USA Local,0.124528004,0.04012699,0.0448
MSDLWXUS Index,HEFA US Equity,0.968,0,MSCI World Ex USA Local,0.124528004,0.04012699,0.0448
MSDLXUXZ Index,HSCZ US Equity,0.978,0,MSCI Europe Ex UK Ex Switzerland Local,0.143789945,0.03633589,0.02785
MSDUFR Index,EWI US Equity,0.9804,0,MSCI France USD,0.176667799,0.041418826,0.03245
MSDUGR Index,DAX US Equity,0.9888,0,MSCI Germany USD,0.191593981,0.055698793,0.0891
MSDUGR Index,EWG US Equity,0.9955,0,MSCI Germany USD,0.191593981,0.055698793,0.0891
MSDUHK Index,EWH US Equity,0.9861,0,MSCI Hong Kong USD,0.139520364,0.06935291,0.09355
MSDUJN Index,BBJP US Equity,0.9824,0,MSCI Japan USD,0.112610569,0.054928644,0.0639
MSDUJN Index,FLJP US Equity,0.9797,0,MSCI Japan USD,0.112610569,0.054928644,0.0639
MSDUKOK Index,CGW US Equity,0.985,0,MSCI Kokusai USD,0.152358245,0.037150654,0.02525
MSDUKOK Index,IDLV US Equity,0.9571,0,MSCI Kokusai USD,0.152358245,0.037150654,0.02525
MSDUSZ Index,EWL US Equity,0.9793,0,MSCI Switzerland USD,0.126505604,0.03534387,0.05595
MSDUUK Index,DEM US Equity,0.9376,0,MSCI UK USD,0.147832912,0.03962177,0.0336
MSDUUK Index,IDV US Equity,0.9618,0,MSCI UK USD,0.147832912,0.03962177,0.0336
MSDUUK Index,FIDI US Equity,0.9654,0,MSCI UK USD,0.147832912,0.03962177,0.0336
MSDUUK Index,VYMI US Equity,0.9837,0,MSCI UK USD,0.147832912,0.03962177,0.0336
MSELACWF Index,DYNF US Equity,0.9921,0,MSCI ACWI Local Index,0.135230417,0.038202784,0.02875
MSELACWF Index,USXF US Equity,0.9941,0,MSCI ACWI Local Index,0.135230417,0.038202784,0.02875
MSELCAPF Index,ESGE US Equity,0.9904,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,DWLD US Equity,0.9728,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,DBEM US Equity,0.9924,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,DGRE US Equity,0.9723,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,EJAN US Equity,0.966,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,HEEM US Equity,0.9931,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,GEM US Equity,0.9843,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,IEMG US Equity,0.9871,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,LDEM US Equity,0.9802,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,NUEM US Equity,0.9843,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCAPF Index,SCHE US Equity,0.9843,0,MSCI AC Asia Pacific Ex Japan Local,0.127028402,0.057237953,0.07515
MSELCFEF Index,CNRG US Equity,0.769,0,MSCI AC Far East Local,0.12507498,0.067368416,0.083
MSELCFEF Index,HAIL US Equity,0.9575,0,MSCI AC Far East Local,0.12507498,0.067368416,0.083
MSELE18 Index,HEZU US Equity,0.9898,0,MSCI AC Europe Local,0.129609619,0.032908268,0.0336
MSEUEU Index,EPOL US Equity,0.9542,0,MSCI EU USD,0.170923502,0.040532582,0.0327
MSEUEU Index,EZU US Equity,0.9934,0,MSCI EU USD,0.170923502,0.040532582,0.0327
MSEUEU Index,IJUL US Equity,0.971,0,MSCI EU USD,0.170923502,0.040532582,0.0327
MSGLCDIS Index,FDIS US Equity,0.9952,0,MSCI World Consumer Discretionary Local,0.152124022,0.051244964,0.04835
MSGLCDIS Index,VCR US Equity,0.9945,0,MSCI World Consumer Discretionary Local,0.152124022,0.051244964,0.04835
MSGLENR Index,FILL US Equity,0.9979,0,MSCI World Energy Sector Local,0.140243429,0.043679127,0.0463
MSGLENR Index,IXC US Equity,0.9989,0,MSCI World Energy Sector Local,0.140243429,0.043679127,0.0463
